period,parent,value,value_30_hours_ago
2023-01-02 06:00:00,CISO,24640,24008
2023-01-02 07:00:00,CISO,24260,24547
2023-01-02 08:00:00,CISO,23212,25346
2023-01-02 09:00:00,CISO,21897,26470
2023-01-02 10:00:00,CISO,21483,26049
2023-01-02 11:00:00,CISO,20776,25241
2023-01-02 12:00:00,CISO,20331,24467
2023-01-02 13:00:00,CISO,20336,23858
2023-01-02 14:00:00,CISO,20528,23134
2023-01-02 15:00:00,CISO,21469,22050
2023-01-02 16:00:00,CISO,22712,21299
2023-01-02 17:00:00,CISO,23099,20808
2023-01-02 18:00:00,CISO,22973,20303
2023-01-02 19:00:00,CISO,23347,19928
2023-01-02 20:00:00,CISO,23475,19980
2023-01-02 21:00:00,CISO,24281,20279
2023-01-02 22:00:00,CISO,24430,20653
2023-01-02 23:00:00,CISO,25191,20610
2023-01-03 00:00:00,CISO,25919,20033
2023-01-03 01:00:00,CISO,26122,19461
2023-01-03 02:00:00,CISO,27311,19279
2023-01-03 03:00:00,CISO,28569,19299
2023-01-03 04:00:00,CISO,28397,19276
2023-01-03 05:00:00,CISO,27726,19597
2023-01-03 06:00:00,CISO,26873,19646
2023-01-03 07:00:00,CISO,26020,20650
2023-01-03 08:00:00,CISO,24536,22401
2023-01-03 09:00:00,CISO,23244,24778
2023-01-03 10:00:00,CISO,22414,25168
2023-01-03 11:00:00,CISO,21929,25111
2023-01-03 12:00:00,CISO,21829,24640
2023-01-03 13:00:00,CISO,21642,24260
2023-01-03 14:00:00,CISO,21684,23212
2023-01-03 15:00:00,CISO,22992,21897
2023-01-03 16:00:00,CISO,24876,21483
2023-01-03 17:00:00,CISO,26169,20776
2023-01-03 18:00:00,CISO,26994,20331
2023-01-03 19:00:00,CISO,26884,20336
2023-01-03 20:00:00,CISO,26828,20528
2023-01-03 21:00:00,CISO,26338,21469
2023-01-03 22:00:00,CISO,26408,22712
2023-01-03 23:00:00,CISO,26302,23099
2023-01-04 00:00:00,CISO,26100,22973
2023-01-04 01:00:00,CISO,26639,23347
2023-01-04 02:00:00,CISO,27617,23475
2023-01-04 03:00:00,CISO,29103,24281
2023-01-04 04:00:00,CISO,28764,24430
2023-01-04 05:00:00,CISO,28295,25191
2023-01-04 06:00:00,CISO,27590,25919
2023-01-04 07:00:00,CISO,26631,26122
2023-01-04 08:00:00,CISO,25086,27311
2023-01-04 09:00:00,CISO,23885,28569
2023-01-04 10:00:00,CISO,23210,28397
2023-01-04 11:00:00,CISO,32387,27726
2023-01-04 12:00:00,CISO,22160,26873
2023-01-04 13:00:00,CISO,21839,26020
2023-01-04 14:00:00,CISO,22128,24536
2023-01-04 15:00:00,CISO,22687,23244
2023-01-04 16:00:00,CISO,24345,22414
2023-01-04 17:00:00,CISO,25547,21929
2023-01-04 18:00:00,CISO,26360,21829
2023-01-04 19:00:00,CISO,26237,21642
2023-01-04 20:00:00,CISO,26415,21684
2023-01-04 21:00:00,CISO,26236,22992
2023-01-04 22:00:00,CISO,26001,24876
2023-01-04 23:00:00,CISO,25879,26169
2023-01-05 00:00:00,CISO,25565,26994
2023-01-05 01:00:00,CISO,25675,26884
2023-01-05 02:00:00,CISO,26692,26828
2023-01-05 03:00:00,CISO,28147,26338
2023-01-05 04:00:00,CISO,28019,26408
2023-01-05 05:00:00,CISO,27210,26302
2023-01-05 06:00:00,CISO,26518,26100
2023-01-05 07:00:00,CISO,25528,26639
2023-01-05 08:00:00,CISO,24112,27617
2023-01-05 09:00:00,CISO,23451,29103
2023-01-05 10:00:00,CISO,22656,28764
2023-01-05 11:00:00,CISO,22221,28295
2023-01-05 12:00:00,CISO,21702,27590
2023-01-05 13:00:00,CISO,21074,26631
2023-01-05 14:00:00,CISO,20953,25086
2023-01-05 15:00:00,CISO,21803,23885
2023-01-05 16:00:00,CISO,23726,23210
2023-01-05 17:00:00,CISO,25104,32387
2023-01-05 18:00:00,CISO,25945,22160
2023-01-05 19:00:00,CISO,26403,21839
2023-01-05 20:00:00,CISO,27240,22128
2023-01-05 21:00:00,CISO,27092,22687
2023-01-05 22:00:00,CISO,27186,24345
2023-01-05 23:00:00,CISO,26227,25547
2023-01-06 00:00:00,CISO,25479,26360
2023-01-06 01:00:00,CISO,25255,26237
2023-01-06 02:00:00,CISO,25931,26415
2023-01-06 03:00:00,CISO,27616,26236
2023-01-06 04:00:00,CISO,27835,26001
2023-01-06 05:00:00,CISO,27302,25879
2023-01-06 06:00:00,CISO,26638,25565
2023-01-06 07:00:00,CISO,25801,25675
2023-01-06 08:00:00,CISO,24429,26692
2023-01-06 09:00:00,CISO,23001,28147
2023-01-06 10:00:00,CISO,22411,28019
2023-01-06 11:00:00,CISO,21905,27210
2023-01-06 12:00:00,CISO,21858,26518
2023-01-06 13:00:00,CISO,21646,25528
2023-01-06 14:00:00,CISO,21771,24112
2023-01-06 15:00:00,CISO,22902,23451
2023-01-06 16:00:00,CISO,24435,22656
2023-01-06 17:00:00,CISO,25720,22221
2023-01-06 18:00:00,CISO,25630,21702
2023-01-06 19:00:00,CISO,24788,21074
2023-01-06 20:00:00,CISO,23768,20953
2023-01-06 21:00:00,CISO,23249,21803
2023-01-06 22:00:00,CISO,22599,23726
2023-01-06 23:00:00,CISO,21499,25104
2023-01-07 00:00:00,CISO,23298,25945
2023-01-07 01:00:00,CISO,23582,26403
2023-01-07 02:00:00,CISO,25217,27240
2023-01-07 03:00:00,CISO,27227,27092
2023-01-07 04:00:00,CISO,27143,27186
2023-01-07 05:00:00,CISO,26706,26227
2023-01-07 06:00:00,CISO,26244,25479
2023-01-07 07:00:00,CISO,25583,25255
2023-01-07 08:00:00,CISO,24344,25931
2023-01-07 09:00:00,CISO,23141,27616
2023-01-07 10:00:00,CISO,22150,27835
2023-01-07 11:00:00,CISO,21852,27302
2023-01-07 12:00:00,CISO,21216,26638
2023-01-07 13:00:00,CISO,20856,25801
2023-01-07 14:00:00,CISO,20964,24429
2023-01-07 15:00:00,CISO,21615,23001
2023-01-07 16:00:00,CISO,22415,22411
2023-01-07 17:00:00,CISO,22736,21905
2023-01-07 18:00:00,CISO,23366,21858
2023-01-07 19:00:00,CISO,22959,21646
2023-01-07 20:00:00,CISO,22811,21771
2023-01-07 21:00:00,CISO,22014,22902
2023-01-07 22:00:00,CISO,21896,24435
2023-01-07 23:00:00,CISO,21766,25720
2023-01-08 00:00:00,CISO,22133,25630
2023-01-08 01:00:00,CISO,22932,24788
2023-01-08 02:00:00,CISO,24080,23768
2023-01-08 03:00:00,CISO,25794,23249
2023-01-08 04:00:00,CISO,25705,22599
2023-01-08 05:00:00,CISO,25349,21499
2023-01-08 06:00:00,CISO,24891,23298
2023-01-08 07:00:00,CISO,24305,23582
2023-01-08 08:00:00,CISO,23634,25217
2023-01-08 09:00:00,CISO,22589,27227
2023-01-08 10:00:00,CISO,21752,27143
2023-01-08 11:00:00,CISO,20842,26706
2023-01-08 12:00:00,CISO,20438,26244
2023-01-08 13:00:00,CISO,19979,25583
2023-01-08 14:00:00,CISO,19892,24344
2023-01-08 15:00:00,CISO,20305,23141
2023-01-08 16:00:00,CISO,20886,22150
2023-01-08 17:00:00,CISO,21409,21852
2023-01-08 18:00:00,CISO,21444,21216
2023-01-08 19:00:00,CISO,20839,20856
2023-01-08 20:00:00,CISO,20408,20964
2023-01-08 21:00:00,CISO,20129,21615
2023-01-08 22:00:00,CISO,20139,22415
2023-01-08 23:00:00,CISO,20607,22736
2023-01-09 00:00:00,CISO,21262,23366
2023-01-09 01:00:00,CISO,22023,22959
2023-01-09 02:00:00,CISO,23348,22811
2023-01-09 03:00:00,CISO,25550,22014
2023-01-09 04:00:00,CISO,25784,21896
2023-01-09 05:00:00,CISO,25484,21766
2023-01-09 06:00:00,CISO,24866,22133
2023-01-09 07:00:00,CISO,23826,22932
2023-01-09 08:00:00,CISO,22574,24080
2023-01-09 09:00:00,CISO,21183,25794
2023-01-09 10:00:00,CISO,20898,25705
2023-01-09 11:00:00,CISO,13059,25349
2023-01-09 12:00:00,CISO,20934,24891
2023-01-09 13:00:00,CISO,20975,24305
2023-01-09 14:00:00,CISO,21133,23634
2023-01-09 15:00:00,CISO,21887,22589
2023-01-09 16:00:00,CISO,23887,21752
2023-01-09 17:00:00,CISO,25815,20842
2023-01-09 18:00:00,CISO,26184,20438
2023-01-09 19:00:00,CISO,26594,19979
